user_location,user_name
"","SucOnDisSpelChk"
"ÜT:  6.908163,107.623429","izzypramuditos"
"","sba25k"
"Over There  Look!","DontBeDigginMe"
"216 919 they luv me newhere","imsohovish"
"Neighborhood of make believe.","eyedress"
"ÜT:  6.328281,106.832244","riqiirawan"
"","NotTheGolfer"
"D [M] V..PG County Or At #UMES","SoloRoc"
"on my level!!!","therealnizzle"
"","5DollarFtLong"
"you aint never there!","CrownedRoyal83"
"","RomanticCreep"
"","mflem2703"
"Liam Payne :)","ErinPaynex3"
"","LasVegasFrogJam"
"","SportsDay2Day"
"","jamiemyrick"
"","charmiitsme"
"Yinzer in Middle of No Where","mjportash"
"","KDogOutfitters"
"","YouRgUrlEli"
"","bjoerndalen"
"Somewhere in the world.....","melorozco"
"","vallejocrime"
"iPhone: 0.000000,0.000000","leTwtrGris"
"Minding My Business","DaBestToEvrDoIt"
"with Tinkle & Sex. :)","xlightmeup"
"Reaching 4 da STARZ","MzUpgradeU"
"","Spoiledbrat87"
"Somewere There s A Flash","urbanflash"
"Ravenclaw Tower","cupocourtney"
"ÜT: 54.983304, 7.33474","JadeNicolexo"
"","TheyCallMeTune"
"Lost in my own head.","katinki01"
"Ons The Throne","CaptainEgo21"
"ÜT:  6.282209,106.93927","melizafitria"
"Zetaland","GiRLwithTaTTS"
"ÜT:  6.244163,106.938176","JisephHakim"
"WoRLd ((0F)) SwEEtS","tastexS0xsweet"
"Riggz","squirreldrummer"
"","RebeccaBlingz"
"","danielamars"
"","WalberswickBell"
"ÜT:  6.224893,106.605054","krishannen89"
"somewhere in ur heart :)","MissBuney"
"","ChrisMatheson"
"las gidi","erflyness"
"","Elagabalus"
"Dark side of the moon","hormazd91"
"Deep in the Heart of Texas","CoreyJMr88"
"HBCA","XoToK"
"","mjzulueta"
"","MilannG"
"Right next to you :]","JoanneeBieber"
"In A Creative State Of Mind","iProphit"
"","GabriellaDiaz4"
"looking down on you all.","BrittanyyBurin"
"","ttcheech"
"","TommyLucciano"
"","KaylaMarieeee"
"Is In your mom s bed ; )","DoPeisMark"
"ÜT:  6.484724,106.817188","fifisofiaps"
"","MichelleHedrick"
"","leeplourde"
"7 TresDeuce","KevinChalk"
"","blackbarbidoll"
"Following my future..","OnCloudMars"
"Camp Half Blood","jesssutandi"
"ÜT:  7.685545,110.414921","siidika"
"ÜT:  6.127835,106.89766","daniapouchen"
"NorCal, baby!","404error"
"ÜT:  6.409781,106.771579","danielwaw"
"","AyeshaMohdd"
"","juliesuzan"
"Right next to you! ;)","gritachii"
"","Bmazz123"
"Where the Wild Things Are","iDevisu"
"On tha left On tha left","flyyychick"
"","DiedPiepMuis"
"Planet Jedward obv","StaceyGrimesWL"
"A red house over yonder.","juanharristan"
"","beringtononline"
"","scoop84"
"http://bismark.tv/","BISMARKTV"
"","FabulousSavings"
"","arnoldphoto"
"","frediflexta"
"Bieber s bed(;","kkellybieber"
"ÜT:  6.911953,107.616686","achmad44"
"beneath your blanket","zulfanadest"
"","playbingofree"
"","charmingmusic"
"The Wonderful Land of OZ","AlecHuisa"
"Everywhere you want to be.","MasterBruce"
"Köhln","Tanisaurio"
"","blogcenneti"
"","tantytatitut"
"ÜT:  6.396399,106.811109","Aryaravato"
"The Earth Solar System","fulviomaiani"
"I live in my bed.","BoomBeeHooker"
"land of the lightskins","PromkingShawtyy"
"Manes/Twist World Peckham","JayeMunkMane"
"Behind you ;)","BeliebingGuy"
"Somewhere Beyond the Sea","mcasti"
"LIT.WORLD","TyViereLIT"
"  UMANO|D C|TY","SugarPain483"
"","HetWeerNu"
"Outchea","GrantsAndFranks"
"ILiveInYourThoughts;)","SckMyTweets"
"Kuntcliff, Hangover Park","jessybrit0"
"Where The Wild Things Are","PimpNameDeezy"
"Malfoy Mannor","CaroLestrange"
"","parasaul"
